----------------------------------------------------------------------
Round |        Pct |     CumPct |       States | Threads |     Time |
----------------------------------------------------------------------
    1 | 9.72222233 |    9.72222 |           45 |    16 |    0.003
    2 | 4.91096878 |   14.63319 |          265 |    16 |    0.001
    3 | 3.33862782 |   17.97182 |          785 |    16 |    0.003
    4 | 2.53469396 |   20.50651 |         1730 |    16 |    0.007
    5 | 2.03907871 |   22.54559 |         3225 |    16 |    0.016
    6 | 1.70363975 |   24.24923 |         5395 |    16 |    0.015
    7 | 1.46187031 |   25.71110 |         8365 |    16 |    0.019
    8 | 1.27950609 |   26.99061 |        12260 |    16 |    0.034
    9 | 1.13713539 |   28.12774 |        17205 |    16 |    0.047
   10 | 1.02295315 |   29.15070 |        23325 |    16 |    0.067
   11 | 0.92937368 |   30.08007 |        30745 |    16 |    0.095
   12 | 0.85130328 |   30.93137 |        39590 |    16 |    0.134
   13 | 0.78519595 |   31.71657 |        49985 |    16 |    0.191
   14 | 0.72850794 |   32.44508 |        62055 |    16 |    0.283
   15 | 0.67936748 |   33.12444 |        75925 |    16 |    0.384
   16 | 0.63636690 |   33.76081 |        91720 |    16 |    0.477
   17 | 0.59842753 |   34.35924 |       109565 |    16 |    0.657
   18 | 0.56470883 |   34.92395 |       129585 |    16 |    0.824
   19 | 0.53454614 |   35.45849 |       151905 |    16 |    1.051
   20 | 0.50740731 |   35.96590 |       176650 |    16 |    1.198
   21 | 0.48286098 |   36.44876 |       203945 |    16 |    1.390
   22 | 0.46055406 |   36.90931 |       233915 |    16 |    1.673
   23 | 0.44019458 |   37.34951 |       266685 |    16 |    1.897
   24 | 0.42153913 |   37.77105 |       302380 |    16 |    2.139
   25 | 0.40438324 |   38.17543 |       341125 |    16 |    2.494
   26 | 0.38855374 |   38.56398 |       383045 |    16 |    2.917
   27 | 0.37390313 |   38.93789 |       428265 |    16 |    8.904
   28 | 0.36030492 |   39.29819 |       476910 |    16 |   10.282
   29 | 0.34765008 |   39.64584 |       529105 |    16 |   11.502
   30 | 0.33584416 |   39.98169 |       584975 |    16 |   12.892
   31 | 0.32480478 |   40.30649 |       644645 |    16 |    6.922
   32 | 0.31445992 |   40.62095 |       708240 |    16 |    9.957
   33 | 0.30474633 |   40.92570 |       775885 |    16 |   11.074
   34 | 0.29560813 |   41.22131 |       847705 |    16 |   12.552
   35 | 0.28699589 |   41.50830 |       923825 |    16 |   13.019
   36 | 0.27886561 |   41.78717 |      1004370 |    16 |   14.106
   37 | 0.27117810 |   42.05835 |      1089465 |    16 |   16.039
   38 | 0.26389828 |   42.32224 |      1179235 |    16 |   17.697
   39 | 0.25699469 |   42.57924 |      1273805 |    16 |   15.954
   40 | 0.25043905 |   42.82968 |      1373300 |    16 |   21.277
   41 | 0.24420576 |   43.07388 |      1477845 |    16 |   23.601
   42 | 0.23827170 |   43.31215 |      1587565 |    16 |   25.773
   43 | 0.23261593 |   43.54477 |      1702585 |    16 |   26.536
   44 | 0.22721940 |   43.77199 |      1823030 |    16 |   28.442
   45 | 0.22206475 |   43.99405 |      1949025 |    16 |   30.467
   46 | 0.21713614 |   44.21119 |      2080695 |    16 |   42.643
   47 | 0.21241908 |   44.42361 |      2218165 |    16 |   55.543
   48 | 0.20790027 |   44.63151 |      2361560 |    16 |   59.929
   49 | 0.20356753 |   44.83508 |      2511005 |    16 |   63.719
   50 | 0.19940966 |   45.03448 |      2666625 |    16 |   62.086
   51 | 0.19541630 |   45.22990 |      2828545 |    16 |   40.348
   52 | 0.19157793 |   45.42148 |      2996890 |    16 |   49.741
